region,month,temperature,salinity,depth,oxygen,turbidity,species
Chennai Coast,May,26.3,35.6,24,6.3,7.0,Anchovy
Visakhapatnam,May,29.6,34.9,79,6.1,4.3,Tuna
Chennai Coast,March,26.6,35.7,33,5.7,3.4,Anchovy
Goa Coast,January,30.0,33.3,19,6.2,3.7,Mackerel
Rameswaram,February,25.6,35.2,69,5.0,2.2,Pomfret
Kerala Coast,May,26.7,34.6,43,6.6,8.3,Sardine
Chennai Coast,September,27.0,34.9,60,5.0,3.4,Mackerel
Andaman Sea,December,29.8,34.6,119,7.1,4.2,Snapper
Kerala Coast,May,26.7,34.6,42,7.6,5.5,Anchovy
Chennai Coast,January,26.8,34.2,13,6.1,5.2,Anchovy
Kerala Coast,August,25.2,33.9,29,4.8,1.3,Anchovy
Visakhapatnam,November,30.1,33.5,190,4.5,8.7,Tuna
Goa Coast,January,29.5,34.4,97,4.7,7.4,Snapper
Goa Coast,June,29.0,34.5,28,5.7,8.5,Seer Fish
Rameswaram,February,26.9,34.4,79,6.7,9.5,Sardine
Kerala Coast,September,24.6,34.5,49,5.5,2.5,Anchovy
Andaman Sea,February,28.5,33.1,131,5.5,6.2,Tuna
Visakhapatnam,January,28.9,33.1,77,7.7,1.3,Seer Fish
Kerala Coast,June,27.8,33.2,36,7.6,1.5,Sardine
Andaman Sea,July,28.5,35.2,45,5.0,4.6,Snapper
Rameswaram,July,25.1,35.6,48,6.3,2.5,Pomfret
Chennai Coast,September,25.6,35.7,71,4.7,3.4,Pomfret
Kerala Coast,January,24.7,35.9,21,7.2,4.6,Anchovy
Visakhapatnam,June,28.7,35.6,197,6.7,8.6,Tuna
Visakhapatnam,April,30.9,35.0,42,6.6,3.9,Seer Fish
Kerala Coast,June,26.7,35.2,36,6.5,9.5,Anchovy
Chennai Coast,June,27.7,35.7,27,7.9,6.8,Anchovy
Visakhapatnam,June,28.7,34.9,97,6.9,2.9,Tuna
Rameswaram,January,26.2,34.1,47,6.8,4.8,Sardine
Kerala Coast,January,25.2,33.2,41,4.5,3.0,Sardine
Rameswaram,May,27.2,33.9,61,4.8,2.2,Pomfret
Kerala Coast,October,25.7,33.2,40,6.8,2.4,Anchovy
Goa Coast,January,29.2,34.4,76,5.2,1.5,Seer Fish
Chennai Coast,January,28.7,33.0,31,5.5,1.5,Pomfret
Rameswaram,May,28.6,35.0,71,7.2,3.4,Pomfret
Andaman Sea,April,29.4,33.2,175,6.8,5.2,Tuna
Rameswaram,March,28.4,34.0,41,6.3,1.9,Pomfret
Visakhapatnam,December,28.6,35.7,80,5.0,4.8,Tuna
Kerala Coast,July,26.7,35.0,73,6.9,5.0,Sardine
Rameswaram,November,26.4,34.5,30,6.8,3.0,Pomfret
Kerala Coast,August,25.4,36.0,31,7.6,6.2,Anchovy
Goa Coast,December,28.6,33.4,58,5.2,5.0,Seer Fish
Visakhapatnam,June,29.6,35.8,120,7.0,2.5,Tuna
Andaman Sea,December,30.2,33.1,199,5.1,5.9,Tuna
Goa Coast,November,28.1,35.0,71,7.6,1.7,Snapper
Andaman Sea,August,28.5,33.7,52,4.7,9.4,Snapper
Rameswaram,October,25.7,35.5,62,5.7,3.7,Sardine
Visakhapatnam,January,30.0,33.8,98,5.0,5.4,Tuna
Rameswaram,June,25.6,35.2,30,6.7,7.1,Sardine
Rameswaram,November,26.6,34.4,33,6.7,7.5,Pomfret
Andaman Sea,May,29.0,35.1,64,6.7,9.9,Snapper
Rameswaram,July,26.3,33.9,47,7.0,5.6,Sardine
Kerala Coast,March,28.8,35.6,41,5.3,9.3,Sardine
Rameswaram,April,28.5,33.8,21,5.2,3.9,Sardine
Kerala Coast,July,25.6,34.0,22,7.2,7.1,Sardine
Kerala Coast,July,25.2,33.2,67,7.4,7.9,Sardine
Andaman Sea,January,29.2,35.1,82,4.5,7.8,Tuna
Kerala Coast,March,26.8,35.2,27,7.1,8.6,Anchovy
Kerala Coast,September,24.9,34.1,48,5.0,7.5,Anchovy
Rameswaram,July,27.1,33.2,20,7.6,5.6,Sardine
Rameswaram,June,25.6,34.3,78,6.9,9.7,Pomfret
Goa Coast,November,29.4,35.1,30,5.8,6.3,Seer Fish
Chennai Coast,November,27.7,33.7,63,6.3,9.1,Pomfret
Chennai Coast,May,28.5,33.6,84,7.2,5.3,Pomfret
Rameswaram,June,26.4,35.3,80,6.7,1.9,Sardine
Andaman Sea,February,29.8,33.3,76,5.2,4.0,Tuna
Visakhapatnam,August,30.8,34.3,22,7.7,7.5,Seer Fish
Rameswaram,July,25.7,35.0,82,7.8,10.0,Pomfret
Andaman Sea,April,30.6,35.4,167,6.4,5.7,Tuna
Chennai Coast,January,26.3,33.8,10,7.0,2.5,Anchovy
Goa Coast,February,28.5,34.4,81,6.3,1.4,Seer Fish
Chennai Coast,August,25.9,34.1,69,4.7,5.9,Pomfret
Goa Coast,February,29.5,33.8,86,7.9,2.7,Snapper
Rameswaram,February,28.6,36.0,32,5.1,4.0,Sardine
Kerala Coast,February,26.6,34.3,38,7.7,1.7,Anchovy
Kerala Coast,March,25.6,35.9,27,7.5,6.2,Sardine
Chennai Coast,November,27.3,34.0,44,5.1,6.0,Pomfret
Kerala Coast,November,25.5,34.0,79,4.7,8.0,Sardine
Rameswaram,December,26.0,35.3,71,7.1,6.4,Pomfret
Visakhapatnam,December,28.8,33.5,162,7.5,7.5,Tuna
Goa Coast,November,29.0,34.6,73,7.5,2.9,Snapper
Goa Coast,December,30.4,33.9,88,5.9,8.4,Seer Fish
Kerala Coast,September,26.2,33.4,20,4.9,1.0,Mackerel
Visakhapatnam,May,29.9,35.1,27,6.9,2.6,Seer Fish
Kerala Coast,July,27.4,34.4,73,5.3,6.3,Sardine
Goa Coast,April,28.1,35.4,50,7.5,8.7,Mackerel
Andaman Sea,November,30.8,35.4,91,5.3,2.0,Tuna
Rameswaram,October,27.2,33.4,53,4.5,1.5,Pomfret
Kerala Coast,July,29.8,35.0,41,6.4,7.5,Mackerel
Andaman Sea,October,30.0,33.6,138,5.9,8.9,Tuna
Goa Coast,December,28.3,34.0,49,7.2,2.6,Snapper
Goa Coast,July,28.0,33.3,81,4.8,7.1,Snapper
Chennai Coast,October,28.1,34.7,80,5.2,1.1,Pomfret
Chennai Coast,July,27.4,33.9,88,7.2,3.8,Pomfret
Rameswaram,January,28.8,35.0,52,7.9,8.1,Sardine
Kerala Coast,December,25.2,33.1,46,7.7,4.1,Anchovy
Rameswaram,October,25.2,34.6,35,7.7,3.0,Sardine
Andaman Sea,January,27.4,34.3,93,7.8,6.2,Snapper
Kerala Coast,December,27.9,34.0,57,5.3,2.8,Sardine
Goa Coast,May,29.6,35.9,87,4.9,9.0,Seer Fish
Chennai Coast,December,27.8,35.5,11,4.6,5.3,Anchovy
Chennai Coast,June,27.9,34.2,29,5.4,9.8,Anchovy
Andaman Sea,May,29.3,33.9,99,7.1,9.1,Snapper
Goa Coast,December,27.2,35.2,62,6.5,5.8,Snapper
Andaman Sea,February,27.4,35.1,40,5.5,9.1,Snapper
Chennai Coast,January,27.1,34.7,49,6.0,7.1,Anchovy
Kerala Coast,December,26.6,33.4,78,5.1,2.9,Sardine
Visakhapatnam,February,29.5,33.2,180,7.1,3.1,Tuna
Kerala Coast,March,29.2,35.6,56,7.7,9.5,Mackerel
Goa Coast,April,30.5,35.6,30,7.8,3.7,Seer Fish
Goa Coast,June,30.9,35.6,58,8.0,6.8,Seer Fish
Andaman Sea,January,28.6,35.8,45,4.6,2.1,Snapper
Andaman Sea,December,27.5,33.6,72,6.2,3.6,Snapper
Andaman Sea,June,30.8,33.6,134,7.9,6.1,Tuna
Andaman Sea,May,27.6,34.9,99,5.8,7.1,Snapper
Kerala Coast,September,28.0,34.0,68,5.6,9.0,Sardine
Andaman Sea,April,29.0,34.5,118,8.0,2.9,Snapper
Visakhapatnam,August,29.1,35.2,77,4.8,7.6,Seer Fish
Rameswaram,August,26.7,34.5,37,4.6,1.4,Pomfret
Chennai Coast,August,26.2,34.5,74,7.6,6.0,Pomfret
Visakhapatnam,February,30.5,33.9,172,7.1,1.6,Tuna
Kerala Coast,June,25.6,34.1,43,8.0,7.9,Anchovy
Chennai Coast,June,26.9,33.0,41,7.3,3.7,Anchovy
Andaman Sea,May,31.1,34.9,107,7.7,6.3,Tuna
Kerala Coast,October,25.4,33.2,29,6.7,7.9,Anchovy
Visakhapatnam,August,30.5,35.1,167,6.2,3.1,Tuna
Andaman Sea,March,28.6,33.7,48,7.0,8.4,Snapper
Goa Coast,November,30.3,34.1,87,7.0,6.8,Seer Fish
Andaman Sea,July,31.5,34.0,149,6.6,3.2,Tuna
Kerala Coast,July,26.7,34.3,37,4.9,9.8,Anchovy
Chennai Coast,November,27.5,33.0,39,6.9,9.3,Anchovy
Goa Coast,December,28.7,35.6,56,5.0,4.3,Snapper
Kerala Coast,January,28.5,35.4,74,4.5,9.1,Sardine
Kerala Coast,June,27.3,33.1,23,4.6,3.2,Mackerel
Goa Coast,July,27.6,35.1,46,7.3,3.9,Snapper
Visakhapatnam,January,29.3,33.7,83,6.5,1.2,Tuna
Goa Coast,January,29.0,34.6,53,5.3,9.4,Mackerel
Visakhapatnam,April,29.1,34.5,191,8.0,7.3,Tuna
Rameswaram,September,25.4,33.7,71,5.8,4.8,Sardine
Goa Coast,October,28.0,33.8,54,7.4,4.8,Mackerel
Andaman Sea,January,30.5,34.0,116,6.0,2.5,Tuna
Chennai Coast,March,25.0,35.0,75,6.2,4.5,Pomfret
Chennai Coast,May,30.0,34.9,22,6.4,4.4,Mackerel
Goa Coast,September,27.9,33.5,55,4.8,9.4,Mackerel
Visakhapatnam,March,31.9,35.0,158,7.8,1.8,Tuna
Chennai Coast,November,25.0,35.8,24,6.7,2.9,Anchovy
Rameswaram,January,25.4,34.0,69,4.9,7.7,Pomfret
Goa Coast,April,26.4,34.6,28,4.5,7.9,Mackerel
Goa Coast,February,27.8,34.9,34,6.0,6.5,Seer Fish
Rameswaram,December,27.5,34.6,74,7.9,3.7,Sardine
Andaman Sea,March,28.3,33.1,97,5.9,9.2,Tuna
Goa Coast,January,29.3,35.5,50,7.8,4.9,Snapper
Kerala Coast,August,26.6,34.8,76,6.3,6.7,Sardine
Chennai Coast,April,25.2,33.9,26,5.6,1.6,Anchovy
Goa Coast,July,28.2,33.8,109,5.0,2.5,Snapper
Chennai Coast,August,27.8,36.0,27,5.3,4.0,Mackerel
Chennai Coast,November,27.8,35.4,38,7.5,3.0,Anchovy
Chennai Coast,August,25.2,33.9,85,6.8,6.0,Pomfret
Chennai Coast,February,27.2,34.7,44,5.3,5.3,Anchovy
Visakhapatnam,March,30.9,35.1,179,6.8,2.6,Tuna
Goa Coast,July,30.9,35.1,38,5.5,1.9,Seer Fish
Andaman Sea,November,28.9,33.8,64,6.6,3.6,Tuna
Chennai Coast,August,26.1,33.9,54,5.8,1.7,Mackerel
Goa Coast,November,27.6,34.3,33,4.9,9.1,Mackerel
Rameswaram,October,26.3,34.2,72,7.7,8.6,Sardine
Kerala Coast,October,27.8,35.5,21,5.5,2.9,Mackerel
Visakhapatnam,June,30.6,34.8,117,5.7,9.8,Tuna
Andaman Sea,September,27.2,34.0,43,6.2,6.0,Snapper
Goa Coast,November,28.3,34.4,62,7.1,7.3,Snapper
Chennai Coast,December,24.6,35.0,22,5.7,1.5,Anchovy
Kerala Coast,January,25.8,33.6,27,5.6,3.4,Sardine
Andaman Sea,February,31.7,35.8,139,4.5,5.2,Tuna
Goa Coast,September,27.2,35.6,29,5.2,4.4,Mackerel
Chennai Coast,February,25.0,35.0,40,5.8,4.8,Anchovy
Andaman Sea,January,28.9,33.4,156,5.7,2.8,Tuna
Kerala Coast,April,27.5,33.7,25,4.9,9.0,Sardine
Visakhapatnam,September,27.2,34.8,46,5.7,9.7,Seer Fish
Goa Coast,April,30.0,35.8,76,5.9,5.3,Seer Fish
Andaman Sea,March,28.4,35.4,52,7.2,4.4,Snapper
Chennai Coast,December,25.2,34.8,72,4.6,3.5,Pomfret
Chennai Coast,August,26.4,35.4,49,7.7,4.3,Pomfret
Chennai Coast,April,27.9,35.8,38,4.7,7.2,Mackerel
Visakhapatnam,June,28.2,33.6,126,6.4,2.7,Tuna
Goa Coast,February,29.0,33.6,98,6.1,9.2,Seer Fish
Rameswaram,October,26.3,33.4,64,5.4,6.5,Pomfret
Chennai Coast,March,29.0,34.0,55,8.0,4.2,Mackerel
Kerala Coast,November,25.4,33.0,45,5.0,2.2,Anchovy
Andaman Sea,August,28.1,34.4,172,7.1,6.7,Tuna
Visakhapatnam,March,29.7,34.7,199,6.1,5.8,Tuna
Goa Coast,June,27.4,34.0,59,5.2,9.8,Mackerel
Visakhapatnam,December,29.5,35.0,114,7.7,8.6,Tuna
Chennai Coast,January,25.1,34.2,12,5.7,8.4,Anchovy
Chennai Coast,November,28.1,35.4,11,7.7,7.0,Mackerel
Chennai Coast,September,27.8,33.7,65,5.2,9.5,Pomfret
Rameswaram,December,25.5,33.1,59,5.1,9.0,Sardine
Goa Coast,March,27.6,34.4,73,6.3,1.1,Snapper
Chennai Coast,February,26.6,34.0,36,6.9,8.4,Anchovy
Andaman Sea,December,28.6,35.4,126,5.0,3.9,Tuna
Andaman Sea,April,28.4,35.8,78,7.5,4.7,Snapper
Visakhapatnam,January,30.1,35.4,27,5.1,8.4,Seer Fish
Goa Coast,September,29.3,35.7,54,6.1,1.9,Mackerel
Chennai Coast,August,26.6,33.4,20,7.0,5.8,Anchovy
Chennai Coast,May,25.1,35.2,54,6.5,7.3,Pomfret
Kerala Coast,January,26.8,33.8,36,6.3,4.5,Anchovy
Kerala Coast,February,28.3,33.3,42,7.4,8.1,Sardine
Chennai Coast,April,26.1,35.7,65,5.0,7.7,Pomfret
Chennai Coast,April,27.8,33.4,21,7.8,4.7,Anchovy
Rameswaram,April,28.8,35.1,32,5.1,9.4,Sardine
Andaman Sea,September,31.5,35.8,179,7.9,6.1,Tuna
Andaman Sea,June,30.4,34.3,194,4.6,4.0,Tuna
Chennai Coast,January,29.8,33.4,44,6.5,4.2,Mackerel
Kerala Coast,March,29.3,35.5,10,5.1,7.7,Mackerel
Chennai Coast,October,28.0,34.7,48,6.4,4.2,Anchovy
Chennai Coast,March,27.9,34.4,32,5.6,9.3,Anchovy
Kerala Coast,June,26.7,34.6,22,5.1,9.3,Sardine
Chennai Coast,March,28.8,34.6,51,7.3,9.5,Pomfret
Chennai Coast,December,24.2,34.3,12,7.4,1.9,Anchovy
Goa Coast,September,27.9,35.1,68,7.7,7.7,Seer Fish
Chennai Coast,February,26.0,33.7,46,7.8,5.9,Anchovy
Kerala Coast,January,27.6,33.4,35,5.8,7.3,Sardine
Andaman Sea,February,28.6,35.9,83,6.0,7.6,Snapper
Goa Coast,May,27.6,34.3,117,5.4,8.9,Snapper
Andaman Sea,January,31.1,34.0,189,5.7,6.0,Tuna
Andaman Sea,February,28.4,33.3,92,7.9,4.3,Tuna
Goa Coast,July,27.9,35.3,74,6.6,2.3,Snapper
Goa Coast,May,28.1,35.7,59,6.6,1.5,Snapper
Chennai Coast,August,26.4,34.2,29,5.2,6.6,Mackerel
Visakhapatnam,March,30.8,35.7,99,5.4,2.5,Tuna
Chennai Coast,April,28.8,35.5,73,5.1,2.8,Pomfret
Visakhapatnam,July,27.8,34.0,49,7.4,4.0,Seer Fish
Kerala Coast,December,24.7,33.7,23,6.1,8.8,Anchovy
Chennai Coast,December,25.1,34.3,38,6.6,7.9,Pomfret
Andaman Sea,May,30.3,35.5,144,6.1,8.4,Tuna
Visakhapatnam,May,29.4,33.9,35,7.4,1.1,Seer Fish
Rameswaram,August,27.0,34.3,87,5.5,7.1,Pomfret
Goa Coast,January,29.0,34.4,61,5.2,4.2,Snapper
