region,month,temperature,salinity,depth,oxygen,turbidity,species
Chennai Coast,July,28.4,34.4,56,5.1,1.5,Mackerel
Kerala Coast,May,29.2,35.4,20,6.6,7.1,Mackerel
Goa Coast,February,28.4,34.8,113,4.9,3.0,Snapper
Kerala Coast,February,29.3,33.3,21,6.7,2.4,Mackerel
Chennai Coast,February,26.9,34.9,38,6.6,9.2,Mackerel
Andaman Sea,December,29.8,33.7,60,7.1,2.0,Snapper
Visakhapatnam,November,27.8,33.5,71,6.4,9.4,Seer Fish
Rameswaram,September,26.2,34.7,20,7.4,6.7,Sardine
Rameswaram,April,27.1,33.7,84,7.1,2.4,Pomfret
Goa Coast,December,29.6,35.1,66,6.4,6.6,Snapper
Andaman Sea,May,29.6,33.6,100,6.5,8.8,Snapper
Visakhapatnam,March,29.3,34.7,168,6.3,4.1,Tuna
Andaman Sea,September,28.3,33.5,131,5.2,2.1,Tuna
Rameswaram,October,25.4,35.8,25,5.0,9.7,Sardine
Chennai Coast,July,28.5,34.5,33,6.4,9.8,Mackerel
Andaman Sea,May,27.7,35.9,118,7.0,3.5,Snapper
Andaman Sea,March,28.3,33.0,116,6.2,8.5,Tuna
Kerala Coast,January,25.2,34.2,39,7.6,3.1,Sardine
Goa Coast,March,26.8,34.9,46,8.0,2.0,Mackerel
Goa Coast,August,30.0,36.0,82,6.9,8.5,Seer Fish
Chennai Coast,September,27.8,34.1,29,7.6,4.0,Mackerel
Chennai Coast,October,27.1,35.2,44,6.1,6.0,Pomfret
Andaman Sea,February,30.1,35.7,155,4.9,1.2,Tuna
Goa Coast,July,27.9,33.7,112,5.8,6.4,Snapper
Chennai Coast,March,25.6,33.7,36,6.1,2.3,Anchovy
Rameswaram,June,28.9,34.5,50,4.8,7.4,Sardine
Andaman Sea,December,28.4,33.9,50,6.3,9.7,Snapper
Goa Coast,January,27.6,35.0,86,4.7,5.0,Snapper
Rameswaram,October,25.5,35.3,49,5.7,5.4,Pomfret
Chennai Coast,July,25.8,33.6,39,6.2,4.4,Anchovy
Visakhapatnam,March,31.0,34.8,95,6.1,6.9,Tuna
Andaman Sea,October,28.9,34.4,132,7.7,6.9,Tuna
Kerala Coast,November,25.9,34.9,74,5.4,2.4,Sardine
Rameswaram,March,28.7,35.1,82,5.1,5.1,Pomfret
Kerala Coast,January,28.5,35.8,43,7.1,7.4,Sardine
